colonna_a,colonna_b,via,zona,numeri,citta,nome_completo
"VIUCCIOLO","","FORTUNA","10 - B","TUTTI","SAN MINIATO","VIUCCIOLO  FORTUNA"
"VIA","","FORTUNATO GIUSTINO","11 - B","TUTTI","SAN MINIATO","VIA  FORTUNATO GIUSTINO"
"VIA","","FOSCOLO UGO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  FOSCOLO UGO"
"VIA","","FOSCOLO UGO","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  FOSCOLO UGO"
"PIAZZETTA","","FOSCOLO UGO","11 - A","TUTTI","SAN MINIATO","PIAZZETTA  FOSCOLO UGO"
"VIA","","FOSCOLO UGO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  FOSCOLO UGO"
"VIA DEI","DEI","FOSSI","11 - A","TUTTI","SAN MINIATO","VIA DEI FOSSI"
"VIA","","FOSSO","15 - B","TUTTI","SANTA MARIA A MONTE","VIA  FOSSO"
"VIA","","FOSSOMBRONI VITTORIO","10 - B","TUTTI","SAN MINIATO","VIA  FOSSOMBRONI VITTORIO"
"LARGO DELLA","DELLA","FRAGOLA ROSSA","3 - B","TUTTI","SANTA CROCE SULL'ARNO","LARGO DELLA FRAGOLA ROSSA"
"VIA NUOVA","","FRANCESCA","21","TUTTI","SANTA CROCE SULL'ARNO","VIA NUOVA  FRANCESCA"
"VIA","","FRANCESCA","17 - B","DAL 1 AL 233 E DAL 2 AL 260","SANTA MARIA A MONTE","VIA  FRANCESCA"
"VIA","","FRANCESCA","17 - A","DAL 239 AL 545 E DAL 270 AL 654I","SANTA MARIA A MONTE","VIA  FRANCESCA"
"VIA","","FRANCESCA NORD","6 - A","DAL 1 AL 205 E DAL 2 AL 252","CASTELFRANCO DI SOTTO","VIA  FRANCESCA NORD"
"VIA PROVINCIALE","","FRANCESCA NORD","1 - A","DAL 9/A AL 85 E DAL 2 AL 126","SANTA CROCE SULL'ARNO","VIA PROVINCIALE  FRANCESCA NORD"
"VIA","","FRANCESCA SUD","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  FRANCESCA SUD"
"VIA PROVINCIALE","","FRANCESCA SUD","2 - A","DAL 1 AL 241 E DAL 4 AL 156","SANTA CROCE SULL'ARNO","VIA PROVINCIALE  FRANCESCA SUD"
"PIAZZA","","FRANCESCHINI","4 - B","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  FRANCESCHINI"
"VIA","","FRANK ANNA","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  FRANK ANNA"
"VIA","","FRANK ANNA","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  FRANK ANNA"
"VIA","","FRATELLI BANDIERA","11 - B","TUTTI","SAN MINIATO","VIA  FRATELLI BANDIERA"
"VIA","","FRATELLI CAIROLI","9 - A","TUTTI","SAN MINIATO","VIA  FRATELLI CAIROLI"
"VIA","","FRATELLI CERVI","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  FRATELLI CERVI"
"VIA","","FRATELLI CERVI","10 - A","TUTTI","SAN MINIATO","VIA  FRATELLI CERVI"
"PIAZZA","","FRATELLI CERVI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA  FRATELLI CERVI"
"VIA","","FRATELLI PALLESI","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  FRATELLI PALLESI"
"VIA","","FRATELLI ROSSELLI","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  FRATELLI ROSSELLI"
"VIA","","FRATELLI ROSSELLI","10 - A","TUTTI","SAN MINIATO","VIA  FRATELLI ROSSELLI"
"VIA","","FRATELLI ROSSELLI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  FRATELLI ROSSELLI"
"CORTE","","FRATINO","7 - B","TUTTI","CASTELFRANCO DI SOTTO","CORTE  FRATINO"
"VIA","","FRIULI","9 - B","TUTTI","SAN MINIATO","VIA  FRIULI"
"LARGO","","FROSINI LUIGI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","LARGO  FROSINI LUIGI"
"VIA","","FROSINI LUIGI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  FROSINI LUIGI"
"VIA","","FUCINI RENATO","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  FUCINI RENATO"
"VIA","","FUCINI RENATO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  FUCINI RENATO"
"VICOLO DEL","DEL","FUOCO","9 - B","TUTTI","SAN MINIATO","VICOLO DEL FUOCO"
"VIA DEL","DEL","GABBIANO","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DEL GABBIANO"
"VIA","","GABELLI ARISTIDE","11 - B","TUTTI","SAN MINIATO","VIA  GABELLI ARISTIDE"
"VIA","","GALILEI GALILEO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  GALILEI GALILEO"
"VIA","","GALILEI GALILEO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  GALILEI GALILEO"
"VIA","","GALILEI GALILEO","9 - A","TUTTI","SAN MINIATO","VIA  GALILEI GALILEO"
"LARGO","","GALILEI GALILEO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","LARGO  GALILEI GALILEO"
"VIA","","GALILEI GALILEO","17 - B","TUTTI","SANTA MARIA A MONTE","VIA  GALILEI GALILEO"
"VIA","","GALVANI LUIGI","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  GALVANI LUIGI"
"VIA","","GALVANI LUIGI","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  GALVANI LUIGI"
"VIA DEL","DEL","GAMBERO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DEL GAMBERO"
"VIA","","GANDHI","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  GANDHI"
"VIA","","GANDHI MAHATMA","10 - A","TUTTI","SAN MINIATO","VIA  GANDHI MAHATMA"
"VIA","","GARCIA LORCA FEDERICO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  GARCIA LORCA FEDERICO"
"VIA","","GARGOZZI","11 - B","TUTTI","SAN MINIATO","VIA  GARGOZZI"
"PIAZZA","","GARIBALDI","5 - A","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  GARIBALDI"
"VIA","","GARIBALDI","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  GARIBALDI"
"VIA","","GARIBALDI","15 - B","TUTTI","SANTA MARIA A MONTE","VIA  GARIBALDI"
"CORSO","","GARIBALDI GIUSEPPE","12 - B","TUTTI","SAN MINIATO","CORSO  GARIBALDI GIUSEPPE"
"PIAZZA","","GARIBALDI GIUSEPPE","9 - A","TUTTI","SAN MINIATO","PIAZZA  GARIBALDI GIUSEPPE"
"PIAZZA","","GARIBALDI GIUSEPPE","1 - B","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA  GARIBALDI GIUSEPPE"
"VIA DEI","DEI","GARIBALDINI","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA DEI GARIBALDINI"
"VIA","","GELLO","14 - B","TUTTI","SAN MINIATO","VIA  GELLO"
"VIA","","GELSI","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  GELSI"
"VIA","","GENOVA","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  GENOVA"
"VIA","","GENOVA","13 - B","TUTTI","SAN MINIATO","VIA  GENOVA"
"LARGO","","GENOVESI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","LARGO  GENOVESI"
"VIA","","GENOVESI ANTONIO","13 - B","TUTTI","SAN MINIATO","VIA  GENOVESI ANTONIO"
"VIA","","GENTILESCHI ARTEMISIA","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  GENTILESCHI ARTEMISIA"
"LARGO","","GERINI ANARCHIA","2 - B","TUTTI","SANTA CROCE SULL'ARNO","LARGO  GERINI ANARCHIA"
"VIA DEL","DEL","GHIANDONE","16 - B","TUTTI","SANTA MARIA A MONTE","VIA DEL GHIANDONE"
"VIA DEL","DEL","GIACCHIO","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DEL GIACCHIO"
"VIA DEL","DEL","GIARDINO","8 - B","TUTTI","SAN MINIATO","VIA DEL GIARDINO"
"VIA DELLA","DELLA","GINESTRA","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DELLA GINESTRA"
"LARGO","","GINZBURG NATALIA","1 - A","TUTTI","SANTA CROCE SULL'ARNO","LARGO  GINZBURG NATALIA"
"VIA","","GIOBERTI","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  GIOBERTI"
"VIA","","GIOBERTI VINCENZO","9 - A","TUTTI","SAN MINIATO","VIA  GIOBERTI VINCENZO"
"VIA","","GIOLITTI GIOVANNI","9 - A","TUTTI","SAN MINIATO","VIA  GIOLITTI GIOVANNI"
"VIA","","GIORDANO UMBERTO","8 - A","TUTTI","SAN MINIATO","VIA  GIORDANO UMBERTO"
"VIA","","GIOTTO","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  GIOTTO"
"VIA","","GIOTTO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  GIOTTO"
"VIA PRIVATA","","GIOVACCHINI AUGUSTO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA PRIVATA  GIOVACCHINI AUGUSTO"
"VIA","","GIOVANNI XXIII","7 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  GIOVANNI XXIII"
"PIAZZA","","GIOVANNI XXIII","10 - A","TUTTI","SAN MINIATO","PIAZZA  GIOVANNI XXIII"
"VIALE","","GIOVANNI XXIII","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIALE  GIOVANNI XXIII"
"VIA DELLA","DELLA","GIOVENTU'","9 - A","TUTTI","SAN MINIATO","VIA DELLA GIOVENTU'"
"PIAZZA","","GIUSTI","5 - B","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  GIUSTI"
"VIA","","GIUSTI","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  GIUSTI"
"VIA","","GIUSTI GIUSEPPE","11 - A","TUTTI","SAN MINIATO","VIA  GIUSTI GIUSEPPE"
"VIA DELLA","DELLA","GIUSTIZIA","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA GIUSTIZIA"
"VIA","","GOBETTI PIERO","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  GOBETTI PIERO"
"VIA","","GOBETTI PIERO","10 - A","TUTTI","SAN MINIATO","VIA  GOBETTI PIERO"
"VIA","","GOBETTI PIERO","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  GOBETTI PIERO"
"VIA","","GOLDONI CARLO","11 - A","TUTTI","SAN MINIATO","VIA  GOLDONI CARLO"
"VIA","","GOLGI CAMILLO","11 - A","TUTTI","SAN MINIATO","VIA  GOLGI CAMILLO"
"VIA DELLA","DELLA","GORA","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA GORA"
"VIA","","GORI GIUSEPPE","10 - B","TUTTI","SAN MINIATO","VIA  GORI GIUSEPPE"
"VIA","","GORI PIETRO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  GORI PIETRO"
"VIA","","GRAMSCI ANTONIO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  GRAMSCI ANTONIO"
"VIA","","GRAMSCI ANTONIO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  GRAMSCI ANTONIO"
"VIA","","GRAMSCI ANTONIO","10 - A","DAL 3 AL 459 E DAL 2 AL 408 E DAL 454 AL 586","SAN MINIATO","VIA  GRAMSCI ANTONIO"
"VIA","","GRAMSCI ANTONIO","8 - A","DAL 424 AL 426","SAN MINIATO","VIA  GRAMSCI ANTONIO"
"VIALE","","GRAMSCI ANTONIO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIALE  GRAMSCI ANTONIO"
"STRADA DI","DI","GRANDE COMUNICAZIONE FI PI LI","13 - B","TUTTI","SAN MINIATO","STRADA DI GRANDE COMUNICAZIONE FI PI LI"
"VIA","","GRANDI ACHILLE","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  GRANDI ACHILLE"
"VICOLO DEL","DEL","GRANO","21","TUTTI","SANTA CROCE SULL'ARNO","VICOLO DEL GRANO"
"VIA","","GRAZIE","17 - A","TUTTI","SANTA MARIA A MONTE","VIA  GRAZIE"
"VIA","","GREMIGNAIO","15 - B","TUTTI","SANTA MARIA A MONTE","VIA  GREMIGNAIO"
"VIA DELLA","DELLA","GREMINA","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DELLA GREMINA"
"PIAZZA","","GRIFONI","11 - B","TUTTI TRANNE 10 E 12","SAN MINIATO","PIAZZA  GRIFONI"
"PIAZZA","","GRIFONI","22","10; 12","SAN MINIATO","PIAZZA  GRIFONI"
"VIA","","GRONCHI","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  GRONCHI"
"VIA","","GROSSI","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  GROSSI"
"LUNGARNO","","GUCCIARDINI","8 - A","TUTTI","SAN MINIATO","LUNGARNO  GUCCIARDINI"
"VILLA","","GUERRAZZI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VILLA  GUERRAZZI"
"VIA","","GUERRAZZI FRANCESCO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  GUERRAZZI FRANCESCO"
"VIA","","GUERRAZZI FRANCESCO","10 - B","TUTTI","SAN MINIATO","VIA  GUERRAZZI FRANCESCO"
"LUNGARNO","","GUICCIARDINI","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","LUNGARNO  GUICCIARDINI"
"VIA","","GUICCIARDINI FRANCESCO","19 - A","TUTTI TRANNE 61","MONTOPOLI IN VAL D'ARNO","VIA  GUICCIARDINI FRANCESCO"
"VIA","","GUICCIARDINI FRANCESCO","21","61","MONTOPOLI IN VAL D'ARNO","VIA  GUICCIARDINI FRANCESCO"
"VIA","","GUICCIARDINI FRANCESCO","12 - B","TUTTI","SAN MINIATO","VIA  GUICCIARDINI FRANCESCO"
"VIA","","GUIDI VIRGILIO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  GUIDI VIRGILIO"
"VIA","","HO CHI MIN","1 - B","TUTTI TRANNE 50,60","SANTA CROCE SULL'ARNO","VIA  HO CHI MIN"
"VIA","","HO CHI MIN","21","50; 60","SANTA CROCE SULL'ARNO","VIA  HO CHI MIN"
"VIA","","IMMAGINETTA","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  IMMAGINETTA"
"LARGO","","IMPASTATO GIUSEPPE","2 - A","TUTTI","SANTA CROCE SULL'ARNO","LARGO  IMPASTATO GIUSEPPE"
"VIA","","IMPASTATO PEPPINO","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  IMPASTATO PEPPINO"
"VIA DELL'","DELL'","INDIPENDENZA","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DELL' INDIPENDENZA"
"VIA","","INDIPENDENZA","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  INDIPENDENZA"
"VIALE DELL'","DELL'","INDUSTRIA","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIALE DELL' INDUSTRIA"
"VIA DELL'","DELL'","INFERNO","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELL' INFERNO"
"VICOLO DELL'","DELL'","INFERNO","12 - B","TUTTI","SAN MINIATO","VICOLO DELL' INFERNO"
"VIA","","INNOCENTI CAMICIOTTOLI DINO","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  INNOCENTI CAMICIOTTOLI DINO"
"VIA","","IOTTI LEONILDE","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  IOTTI LEONILDE"
"PIAZZA","","IOTTI NILDE","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA  IOTTI NILDE"
"VIA DELL'","DELL'","IPPOCASTANO","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DELL' IPPOCASTANO"
"VIA","","IRPINIA","10 - A","TUTTI","SAN MINIATO","VIA  IRPINIA"
"VIA DELL'","DELL'","ISERONE","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA DELL' ISERONE"
"VIA","","ISOLA","13 - B","TUTTI","SAN MINIATO","VIA  ISOLA"
"VIALE","","ITALIA","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIALE  ITALIA"
"PIAZZA","","ITALIA","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA  ITALIA"
"VIA","","KENNEDY JOHN FITZGERALD","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  KENNEDY JOHN FITZGERALD"
"VIA","","KENNEDY JOHN FITZGERALD","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  KENNEDY JOHN FITZGERALD"
"VIA","","KING MARTIN LUTHER","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  KING MARTIN LUTHER"
"VIA","","KING MARTIN LUTHER","10 - A","TUTTI","SAN MINIATO","VIA  KING MARTIN LUTHER"
"VIA","","KING MARTIN LUTHER","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  KING MARTIN LUTHER"
"VIA","","KOLBE MASSIMILIANO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  KOLBE MASSIMILIANO"
"VIA","","LA TORRE PIO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  LA TORRE PIO"
"VIA","","LABRIOLA ANTONIO","9 - A","TUTTI","SAN MINIATO","VIA  LABRIOLA ANTONIO"
"VIA","","LABRIOLA ARTURO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  LABRIOLA ARTURO"
"VIA","","LAMBRUSCHINI RAFFAELLO","22","TUTTI","SAN MINIATO","VIA  LAMBRUSCHINI RAFFAELLO"
"RAMPA","","LAMI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","RAMPA  LAMI"
"VILLA","","LAMI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VILLA  LAMI"
"VIA","","LAMI GIOVANNI","1 - B","DAL 5 AL 43 E DAL 2 AL 54","SANTA CROCE SULL'ARNO","VIA  LAMI GIOVANNI"
"VIA","","LAMI GIOVANNI","4 - A","DAL 147 AL 149","SANTA CROCE SULL'ARNO","VIA  LAMI GIOVANNI"
"VIA","","LANCIONI","21","TUTTI","SANTA CROCE SULL'ARNO","VIA  LANCIONI"
"VIA","","LANDESCHI GIOVAN BATTISTA","14 - B","TUTTI","SAN MINIATO","VIA  LANDESCHI GIOVAN BATTISTA"
"VIA","","LAVAGNINI SPARTACO","9 - A","TUTTI","SAN MINIATO","VIA  LAVAGNINI SPARTACO"
"VIA","","LAVATOIO","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  LAVATOIO"
"VIA","","LAVIALLA","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  LAVIALLA"
"VIA DEL","DEL","LAVORO","15 - A","TUTTI","SANTA MARIA A MONTE","VIA DEL LAVORO"
"VIA","","LAZIO","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  LAZIO"
"VIA","","LAZIO","9 - B","TUTTI","SAN MINIATO","VIA  LAZIO"
"VIA","","LAZIO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  LAZIO"
"VIA DEI","DEI","LAZZERI","7 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DEI LAZZERI"
"VIA DEL","DEL","LECCIO","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DEL LECCIO"
"VIA","","LEONARDO","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  LEONARDO"
"VIA","","LEONCAVALLO RUGGERO","8 - A","TUTTI","SAN MINIATO","VIA  LEONCAVALLO RUGGERO"
"VIA","","LEONI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  LEONI"
"VIA","","LEOPARDI GIACOMO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  LEOPARDI GIACOMO"
"VIA","","LEOPARDI GIACOMO","12 - A","TUTTI","SAN MINIATO","VIA  LEOPARDI GIACOMO"
"VIA","","LEOPARDI GIACOMO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  LEOPARDI GIACOMO"
"VIA","","LEPORAIA","9 - A","TUTTI","SAN MINIATO","VIA  LEPORAIA"
"VIA DI","DI","LEVANTE","10 - B","TUTTI","SAN MINIATO","VIA DI LEVANTE"
"PIAZZA","","LEVI MONTALCINI RITA","1 - B","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA  LEVI MONTALCINI RITA"
"PIAZZA DELLA","DELLA","LIBERAZIONE","14 - A","TUTTI","SAN MINIATO","PIAZZA DELLA LIBERAZIONE"
"VIA DELLA","DELLA","LIBERTA'","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA LIBERTA'"
"VIA DELLA","DELLA","LIBERTA'","9 - A","TUTTI","SAN MINIATO","VIA DELLA LIBERTA'"
"VIALE DELLA","DELLA","LIBERTA'","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIALE DELLA LIBERTA'"
"VIA","","LIGURIA","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  LIGURIA"
"VIA","","LIGURIA","10 - A","TUTTI","SAN MINIATO","VIA  LIGURIA"
"VIA","","LIGURIA","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  LIGURIA"
"VIA","","LIVO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  LIVO"
"VIA","","LIVORNESE","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  LIVORNESE"
"ROTONDA","","LOCATELLI GABRIELE MORENO","10 - B","TUTTI","SAN MINIATO","ROTONDA  LOCATELLI GABRIELE MORENO"
"VIA DELLA","DELLA","LOMBARDA","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA LOMBARDA"
"VIA","","LOMBARDI RICCARDO","10 - A","TUTTI","SAN MINIATO","VIA  LOMBARDI RICCARDO"
"VIA","","LOMBARDIA","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  LOMBARDIA"
"VIA","","LOMBARDIA","9 - B","TUTTI","SAN MINIATO","VIA  LOMBARDIA"
"VIA","","LOMBARDIA","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  LOMBARDIA"
"VIA","","LOMBARDO RADICE GIUSEPPE","22","TUTTI","SAN MINIATO","VIA  LOMBARDO RADICE GIUSEPPE"
"VIA","","LOTTI LEONE","7 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  LOTTI LEONE"
"LARGO","","LOTTI PIETRO","21","TUTTI","SANTA CROCE SULL'ARNO","LARGO  LOTTI PIETRO"
"VIA","","LUCCA","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  LUCCA"
"ROTONDA","","LUCCHETTA MARCO","10 - B","TUTTI","SAN MINIATO","ROTONDA  LUCCHETTA MARCO"
"VIA","","LUIGI IX","8 - A","TUTTI","SAN MINIATO","VIA  LUIGI IX"
"VIA","","LUNGOMONTE","17 - A","DAL 1 AL 29 E DAL 2 AL 66","SANTA MARIA A MONTE","VIA  LUNGOMONTE"
"VIA","","LUNGOMONTE","15 - A","DAL 31 AL 167 E DAL 68 AL 348","SANTA MARIA A MONTE","VIA  LUNGOMONTE"
"VIA","","LUNGOVALLE","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  LUNGOVALLE"
"VIA","","LUXEMBURG ROSA","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  LUXEMBURG ROSA"
"VIA DELLE","DELLE","MACCHIE","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA DELLE MACCHIE"
"VIA","","MACHIAVELLI NICCOLO'","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  MACHIAVELLI NICCOLO'"
"VIA","","MACHIAVELLI NICCOLO'","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MACHIAVELLI NICCOLO'"
"VIA","","MACHIAVELLI NICCOLO'","12 - B","TUTTI","SAN MINIATO","VIA  MACHIAVELLI NICCOLO'"
"VIA","","MACHIAVELLI NICCOLO'","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MACHIAVELLI NICCOLO'"
"VIA","","MADONNA DEI BIMBI","10 - B","TUTTI","SAN MINIATO","VIA  MADONNA DEI BIMBI"
"VIA","","MAGELLANO","22","TUTTI","SAN MINIATO","VIA  MAGELLANO"
"VIA","","MAGELLANO FERDINANDO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  MAGELLANO FERDINANDO"
"VIA","","MAGELLANO FERDINANDO","21","TUTTI","SANTA CROCE SULL'ARNO","VIA  MAGELLANO FERDINANDO"
"VIA","","MAGENTA","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  MAGENTA"
"VIA","","MAGENTA","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  MAGENTA"
"PIAZZA","","MAGGESE","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA  MAGGESE"
"VIA","","MAGNANI ANNA","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  MAGNANI ANNA"
"VIA DELLA","DELLA","MAGNOLIA","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DELLA MAGNOLIA"
"VIA","","MAINARDI ALFREDO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MAINARDI ALFREDO"
"VIA","","MAIOLI PAOLO","12 - B","TUTTI","SAN MINIATO","VIA  MAIOLI PAOLO"
"VILLA","","MAIORFI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VILLA  MAIORFI"
"VIA","","MAJORANA ETTORE","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MAJORANA ETTORE"
"LARGO","","MALAGUZZI LORIS","22","TUTTI","SAN MINIATO","LARGO  MALAGUZZI LORIS"
"VIA","","MALAPARTE CURZIO","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MALAPARTE CURZIO"
"VIA","","MALAPARTE CURZIO","21","TUTTI","SANTA CROCE SULL'ARNO","VIA  MALAPARTE CURZIO"
"VIA","","MALPASSO","21","TUTTI","CASTELFRANCO DI SOTTO","VIA  MALPASSO"
"VIA","","MALVECCHIAIA","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MALVECCHIAIA"
"VIA","","MAMELI GOFFREDO","9 - A","TUTTI","SAN MINIATO","VIA  MAMELI GOFFREDO"
"VIA","","MAMELI GOFFREDO","16 - B","TUTTI","SANTA MARIA A MONTE","VIA  MAMELI GOFFREDO"
"VIA DI","DI","MANA","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DI MANA"
"VIA","","MANIN DANIELE","9 - A","TUTTI","SAN MINIATO","VIA  MANIN DANIELE"
"VIA","","MANTEGNA ANDREA","9 - A","TUTTI","SAN MINIATO","VIA  MANTEGNA ANDREA"
"VIA","","MANZI ALBERTO","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MANZI ALBERTO"
"VIA","","MANZONI ALESSANDRO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  MANZONI ALESSANDRO"
"VIA","","MANZONI ALESSANDRO","12 - B","TUTTI","SAN MINIATO","VIA  MANZONI ALESSANDRO"
"VIA","","MANZONI ALESSANDRO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  MANZONI ALESSANDRO"
