colonna_a,colonna_b,via,zona,numeri,citta,nome_completo
"VIA","","BARI","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BARI"
"VIA","","BARONCI","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BARONCI"
"VIA DE'","DE'","BARROCCIAI","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DE' BARROCCIAI"
"VIA","","BARSANTI PADRE EUGENIO","19 - B","DAL 3 AL 11 E DAL  2 AL 60","MONTOPOLI IN VAL D'ARNO","VIA  BARSANTI PADRE EUGENIO"
"VIA","","BASILI ADINO","1 - B","TUTTI TRANNE 4/C","SANTA CROCE SULL'ARNO","VIA  BASILI ADINO"
"VIA","","BASILI ADINO","21","4/C","SANTA CROCE SULL'ARNO","VIA  BASILI ADINO"
"VIA","","BASILICATA","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BASILICATA"
"VIA","","BASILICATA","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  BASILICATA"
"VIA","","BASSA","14 - B","TUTTI","SAN MINIATO","VIA  BASSA"
"PIAZZA","","BASSO LELIO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  BASSO LELIO"
"VIA","","BATTISTI CESARE","12 - B","TUTTI","SAN MINIATO","VIA  BATTISTI CESARE"
"VIA","","BATTISTI CESARE","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  BATTISTI CESARE"
"VIA","","BATTISTI LUCIO","15 - B","TUTTI","SANTA MARIA A MONTE","VIA  BATTISTI LUCIO"
"VIA DEI","DEI","BECCAI","12 - A","TUTTI","SAN MINIATO","VIA DEI BECCAI"
"VIA DEI","DEI","BECHINI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DEI BECHINI"
"VIA DELLA","DELLA","BEDINA","21","TUTTI","SANTA CROCE SULL'ARNO","VIA DELLA BEDINA"
"VIA","","BELLI GIUSEPPE GIOACCHINO","12 - B","TUTTI","SAN MINIATO","VIA  BELLI GIUSEPPE GIOACCHINO"
"VIA","","BELLINI VINCENZO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  BELLINI VINCENZO"
"VIA","","BELLINI VINCENZO","8 - A","TUTTI","SAN MINIATO","VIA  BELLINI VINCENZO"
"VIA","","BELLINI VINCENZO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  BELLINI VINCENZO"
"VIA","","BELVEDERE","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BELVEDERE"
"VIA","","BELVEDERE","9 - B","DAL 2 AL 26","SAN MINIATO","VIA  BELVEDERE"
"VIA","","BELVEDERE","10 - A","DAL 32 AL 44","SAN MINIATO","VIA  BELVEDERE"
"VIA","","BERLINGUER ENRICO","12 - A","TUTTI","SAN MINIATO","VIA  BERLINGUER ENRICO"
"VIA","","BERNINI","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  BERNINI"
"PIAZZA","","BERNINI LORENZO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA  BERNINI LORENZO"
"PIAZZA DEI","DEI","BERSAGLIERI","11 - A","TUTTI","SAN MINIATO","PIAZZA DEI BERSAGLIERI"
"CORSO","","BERTONCINI REMO","5 - B","DAL 3 AL  63 E DAL  2; AL 74","CASTELFRANCO DI SOTTO","CORSO  BERTONCINI REMO"
"PIAZZA","","BERTONCINI REMO","21","1","CASTELFRANCO DI SOTTO","PIAZZA  BERTONCINI REMO"
"VIA DELLE","DELLE","BETULLE","6 - A","1/A","CASTELFRANCO DI SOTTO","VIA DELLE BETULLE"
"PIAZZA","","BIAGI MARCO","22","SNC","SAN MINIATO","PIAZZA  BIAGI MARCO"
"VIA","","BIAGI ROMEO","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  BIAGI ROMEO"
"VIA DEL","DEL","BIAGIONATO","11 - B","TUTTI","SAN MINIATO","VIA DEL BIAGIONATO"
"VIA DI","DI","BIENTINA","16 - A","DAL 1 AL 319 E DAL  2 AL 290","SANTA MARIA A MONTE","VIA DI BIENTINA"
"VIA","","BINDONE","16 - B","DAL 1 AL 27/A E DAL  2 AL 54","SANTA MARIA A MONTE","VIA  BINDONE"
"VIA","","BINI","11 - B","TUTTI","SAN MINIATO","VIA  BINI"
"VIA","","BIXIO NINO","9 - A","TUTTI","SAN MINIATO","VIA  BIXIO NINO"
"VIA","","BOCCA D'ELSA","13 - B","TUTTI","SAN MINIATO","VIA  BOCCA D'ELSA"
"VIA","","BOCCACCIO GIOVANNI","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  BOCCACCIO GIOVANNI"
"VIA","","BOCCACCIO GIOVANNI","11 - A","TUTTI","SAN MINIATO","VIA  BOCCACCIO GIOVANNI"
"VIA","","BOCCHERINI LUIGI","8 - A","TUTTI","SAN MINIATO","VIA  BOCCHERINI LUIGI"
"VIA","","BOCCIARDI","4 - A","DAL 109 AL 125 E DAL  108 AL 126","SANTA CROCE SULL'ARNO","VIA  BOCCIARDI"
"PIAZZA","","BOITO ARRIGO","8 - A","TUTTI","SAN MINIATO","PIAZZA  BOITO ARRIGO"
"VIA","","BOLOGNA","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BOLOGNA"
"VIA","","BOLOGNA","11 - A","TUTTI","SAN MINIATO","VIA  BOLOGNA"
"VIA","","BONCI","16 - B","TUTTI","SANTA MARIA A MONTE","VIA  BONCI"
"LARGO","","BONETTI UBERTO","2 - B","TUTTI","SANTA CROCE SULL'ARNO","LARGO  BONETTI UBERTO"
"VIA","","BONGI DON ALDO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  BONGI DON ALDO"
"VIA DEL","DEL","BONOMO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA DEL BONOMO"
"VIA DI","DI","BORDICINO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DI BORDICINO"
"VICOLO","","BORGHIZZI","12 - B","TUTTI","SAN MINIATO","VICOLO  BORGHIZZI"
"VIA","","BORGO D'ARENA","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BORGO D'ARENA"
"VIA","","BORGO NUOVO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  BORGO NUOVO"
"VIA","","BORGONUOVO","11 - B","TUTTI","SAN MINIATO","VIA  BORGONUOVO"
"VIA","","BORSELLINO PAOLO","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  BORSELLINO PAOLO"
"VIA","","BORSELLINO PAOLO","10 - A","TUTTI","SAN MINIATO","VIA  BORSELLINO PAOLO"
"VIA","","BORSIERI PIETRO","9 - A","TUTTI","SAN MINIATO","VIA  BORSIERI PIETRO"
"VIA DEL","DEL","BOSCO","1 - B","DAL 1 AL 45 E DAL 2 AL 100","SANTA CROCE SULL'ARNO","VIA DEL BOSCO"
"VIA DEL","DEL","BOSCO","3 - A","DAL 53 AL 265 E DAL  108 AL 352","SANTA CROCE SULL'ARNO","VIA DEL BOSCO"
"VIA DEL","DEL","BOSCO","21","275; 283","SANTA CROCE SULL'ARNO","VIA DEL BOSCO"
"VIA DEL","DEL","BOSCO","3 - A","DAL 285 AL 289","SANTA CROCE SULL'ARNO","VIA DEL BOSCO"
